ID,NM_UF,NM_MUNICIP,CD_GEOCODM_SUS,LONG,LAT
15334,SÃO PAULO,ÁGUAS DE SANTA BÁRBARA,350055,-49.2386077671316,-22.869149409425
15343,SÃO PAULO,ÁGUAS DE SÃO PEDRO,350060,-47.8839747409776,-22.5973395538539
15344,SÃO PAULO,AGUDOS,350070,-48.9901562879424,-22.474037
15348,SÃO PAULO,ALAMBARI,350075,-47.8935883872336,-23.5538988926706
15352,SÃO PAULO,ALFREDO MARCONDES,350080,-51.4129380665063,-21.9527411236002
15353,SÃO PAULO,ALTAIR,350090,-49.0601107542409,-20.523304881604
15355,SÃO PAULO,ALTINÓPOLIS,350100,-47.3732802928901,-21.0245826445728
15356,SÃO PAULO,ALTO ALEGRE,350110,-50.1635967960874,-21.5816894572053
15360,SÃO PAULO,ALUMÍNIO,350115,-47.2590569184704,-23.5333730478469
15364,SÃO PAULO,ÁLVARES FLORENCE,350120,-49.91118481249,-20.3198762474474
15366,SÃO PAULO,ÁLVARES MACHADO,350130,-51.4687972730125,-22.077778995
15368,SÃO PAULO,ÁLVARO DE CARVALHO,350140,-49.720609020316,-22.0763746340434
15369,SÃO PAULO,ALVINLÂNDIA,350150,-49.7630330293599,-22.4450101515788
15370,SÃO PAULO,AMERICANA,350160,-47.3303629263814,-22.7408835
15372,SÃO PAULO,AMÉRICO BRASILIENSE,350170,-48.1066045618439,-21.7300365
15373,SÃO PAULO,AMÉRICO DE CAMPOS,350180,-49.7270268374496,-20.2964019435983
15374,SÃO PAULO,AMPARO,350190,-46.7650856904637,-22.6993886263407
15392,SÃO PAULO,ANALÂNDIA,350200,-47.6607664159226,-22.1287854993409
15394,SÃO PAULO,ANDRADINA,350210,-51.3788477947637,-20.901463515
